name,city,countryOne,code,lat,lon,type,countryTwo,id
Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689835,145.3919983,air,,f8937df9-9f69-405e-be92-e48d5451a682
Madang Airport,Madang,Papua New Guinea,MAG,-5.207079887,145.7890015,air,,37fbdcf3-5c3f-4570-a613-42d853b37385
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789856,144.2960052,air,,b9f10026-01c8-4fe7-924b-b4186a66a985
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977,air,,52f75cf1-04d3-4d6e-a0cf-0eeb33524904
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380356,147.2200012,air,,875417ad-84ba-4106-a1a3-37313a63ef4b
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.583830118,143.6690063,air,,7adbfefe-bbf6-44d5-88cc-eace83d94f21
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.16049957,-45.42599869,air,,3f64b59f-aae0-42f1-bec6-4ad1a09b4048
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.67810059,air,,ee6d4168-0f25-45c5-bbfc-148f86479500
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122219,-50.71160316,air,,24e4fc81-7f9f-4f9c-b619-ebf064b079a5
Thule Air Base,Thule,Greenland,THU,76.53119659,-68.70320129,air,,98223407-d70c-4059-9cf9-c0f1b05f1904
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366,-18.0727005,air,,80cf3672-f2ef-4ae4-a650-d65143d2e25d
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.28330231,-14.40139961,air,,636a1695-531c-425d-afd8-7501ab6012eb
Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272,air,,003f6f73-8b39-4205-bcec-98984f3f4c39
Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001,air,,5dc4b4f0-a125-49d1-9a58-491290aacd3e
Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809784,-23.13529968,air,,90912048-1be6-4b27-8850-cb27d69735fb
Keflavik International Airport,Keflavik,Iceland,KEF,63.98500061,-22.60560036,air,,ba1f9780-77f4-44b3-8f09-281c79f12f2f
